real distance:(1 groups)
14  1:372.8  2:317.8  3:353.3  4:271.1  5:223.9  6:302.9  7:171.0  8:262.2  9:229.0 10:238.4 11:189.9 12:338.8 13:277.1 14:270.2 

measured distance:(200 groups)

14  1:380.2  2:323.4  3:357.7  4:274.5  5:226.0  6:304.7  7:170.0  8:263.7  9:233.5 10:248.7 11:217.2 12:343.7 13:280.3 14:278.8 
14  1:381.0  2:322.6  3:358.3  4:275.1  5:226.7  6:305.2  7:170.6  8:264.3  9:234.6 10:249.3 11:226.8 12:344.3 13:282.5 14:278.6 
14  1:380.9  2:324.0  3:358.1  4:273.4  5:225.0  6:303.4  7:170.3  8:264.3  9:233.8 10:249.2 11:220.2 12:343.8 13:281.9 14:278.4 
14  1:381.4  2:324.1  3:358.4  4:275.1  5:226.0  6:305.3  7:170.5  8:264.5  9:234.7 10:248.7 11:215.6 12:344.5 13:282.7 14:278.7 
14  1:380.5  2:323.2  3:358.1  4:274.3  5:226.5  6:304.4  7:170.4  8:262.8  9:233.3 10:249.2 11:217.8 12:344.4 13:282.5 14:278.6 
14  1:381.3  2:323.4  3:358.4  4:274.5  5:226.8  6:305.4  7:170.5  8:264.3  9:234.6 10:248.6 11:218.7 12:344.3 13:282.4 14:277.8 
14  1:380.1  2:324.0  3:358.6  4:274.6  5:226.6  6:305.1  7:170.6  8:263.9  9:234.7 10:248.5 11:220.5 12:344.4 13:282.2 14:278.2 
14  1:381.4  2:324.0  3:358.4  4:274.3  5:226.1  6:304.8  7:170.5  8:264.4  9:234.7 10:249.4 11:207.0 12:344.4 13:281.6 14:278.7 
14  1:381.2  2:324.0  3:358.3  4:274.5  5:213.0  6:305.2  7:169.7  8:263.8  9:234.4 10:248.5 11:209.5 12:344.3 13:282.5 14:278.6 
14  1:380.9  2:324.1  3:358.3  4:275.2  5:226.6  6:304.6  7:170.5  8:264.4  9:233.4 10:249.4 11:207.7 12:344.4 13:282.5 14:278.8 
14  1:379.6  2:322.8  3:357.4  4:274.7  5:226.1  6:304.7  7:170.0  8:263.1  9:234.1 10:248.8 11:206.4 12:342.3 13:281.3 14:278.3 
14  1:380.3  2:323.5  3:357.7  4:274.5  5:224.3  6:304.6  7:170.0  8:263.9  9:232.8 10:248.8 11:206.3 12:343.8 13:280.3 14:277.3 
14  1:380.8  2:323.5  3:357.7  4:274.0  5:226.2  6:304.5  7:170.1  8:263.9  9:234.1 10:248.1 11:207.2 12:343.8 13:282.0 14:277.6 
14  1:379.0  2:322.1  3:358.0  4:274.7  5:226.3  6:304.5  7:168.5  8:262.6  9:234.2 10:248.9 11:205.5 12:343.3 13:281.3 14:278.2 
14  1:380.3  2:323.7  3:357.4  4:274.6  5:226.2  6:304.4  7:170.1  8:264.1  9:233.4 10:249.8 11:204.7 12:344.0 13:282.2 14:277.4 
14  1:380.8  2:323.5  3:357.8  4:274.0  5:226.2  6:304.4  7:170.0  8:263.9  9:233.5 10:249.8 11:203.8 12:343.9 13:281.8 14:276.6 
14  1:380.6  2:323.0  3:358.0  4:274.6  5:225.6  6:304.7  7:169.5  8:262.5  9:234.3 10:249.9 11:201.5 12:343.8 13:281.9 14:276.7 
14  1:380.4  2:323.4  3:358.0  4:274.5  5:226.2  6:304.8  7:169.5  8:263.9  9:234.1 10:249.0 11:215.7 12:343.9 13:282.1 14:278.2 
14  1:380.6  2:323.5  3:357.8  4:274.0  5:225.6  6:304.6  7:168.5  8:263.9  9:234.1 10:248.9 11:204.6 12:343.9 13:281.8 14:278.2 
14  1:380.8  2:323.5  3:344.5  4:273.9  5:226.2  6:304.9  7:170.0  8:263.9  9:233.3 10:247.3 11:205.0 12:343.1 13:281.7 14:279.1 
